,map_names,variable,value
0,Mirage,total_picks,3188
1,Inferno,total_picks,2951
2,Train,total_picks,2630
3,Overpass,total_picks,1849
4,Dust2,total_picks,1379
5,Nuke,total_picks,1376
6,Cache,total_picks,1357
7,Cobblestone,total_picks,1075
8,Vertigo,total_picks,195
